ProductCategoryID,ProductCategoryCode,ParentProductCategoryCode,ProductCategoryName
20295,10907030,10907000,Video-Verbindungskabel/Adapter
20296,10907040,10907000,Antennen-Verbindungskabel/Adapter
20297,10907050,10907000,Netzkabel/Adapter
20298,10907500,10900000,Stromversorgungen
20299,10907530,10907500,Universal-Netzteile/Ladegeräte
21848,10907535,10907500,Powerbanks
20300,10907540,10907500,Akku-Ladegeräte
20301,10907550,10907500,Batterie-Tester
20302,10907560,10907500,Zeitschaltuhr/Timer
21602,10907565,10907500,Knopfzellen-Batterien
21603,10907568,10907500,9V Block-Batterien
21604,10907571,10907500,Micro-Batterien
21605,10907574,10907500,Mignon-Batterien
21606,10907577,10907500,Baby-Batterien
21607,10907580,10907500,Mono-Batterien
21608,10907583,10907500,Sonstige-Batterien
21609,10907585,10907500,Micro-Akkus
21610,10907587,10907500,Mignon-Akkus
21611,10907590,10907500,Sonstige-Akkus
20303,10908000,10900000,Audio / Video-Möbel
20304,10908010,10908000,TV/Video-Konsolen/Standfüße
20305,10908015,10908000,TV/Video-Konsolen mit Lautspr.
20306,10908020,10908000,Audio-Konsolen/Racks
20307,10908030,10908000,AV-Universal-Konsolen/Halterungen
20308,10908040,10908000,Lautsprecher-Füße/Ständer/Halter
21173,10908090,10908000,AV-Möbel-Zubehör
20309,10909000,10900000,elektronisches Spielzeug
20310,10909010,10909000,elektronisches Spielzeug
21381,11000000,NULL,Unterhaltungs- / Speichermedien
21382,11100000,11000000,Unterhaltungsmedien
21383,11101000,11100000,CDs / MCs
21384,11101010,11101000,CDs
21385,11101020,11101000,MCs
21386,11102000,11100000,Blu-rays / DVDs
21387,11102010,11102000,Blu-rays
21388,11102020,11102000,DVDs
20311,13000000,NULL,Car-Audio & Navigation
20312,13100000,13000000,Autoradiokomponenten
20313,13101000,13100000,Einzelgeräte
20314,13101005,13101000,Solo-Autoradios
20315,13101010,13101000,Kassetten-Autoradios
20316,13101015,13101000,MD-Autoradios
20317,13101020,13101000,CD-Autoradios
20318,13101025,13101000,CD/ MD-Autoradios
20319,13101030,13101000,CD-Wechsler
20320,13101035,13101000,MD-Wechsler
20321,13101040,13101000,CD/ Kassetten-Kombi-Autoradios
21265,13101050,13101000,DVD-Autoradios
20322,13101500,13100000,Komplettsysteme
20323,13101505,13101500,Autoradio + CD-Wechsler (Set)
20324,13101510,13101500,Autoradio + MD-Wechsler (Set)
20325,13101515,13101500,Kass./Autoradio + CD-Wechsler (Set)
20326,13101520,13101500,CD/Autoradio + CD-Wechsler (Set)
20327,13101530,13101500,MD/Autoradio + CD-Wechsler (Set)
